"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co153","Queensland Museum Amphibians and Reptiles","","Records provided by Queensland Museum Amphibians and Reptiles, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co153","","","","860"
"co274","Museums Victoria DNA Laboratory","","Records provided by Museums Victoria DNA Laboratory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co274","","","","1"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","33"
"dr1097","Victorian Biodiversity Atlas","10.15468/khlfs3","Data Source: 'Victorian Biodiversity Atlas', (c) The State of Victoria, Department of Environment, Land, Water & Planning (published [month, year]).","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int)) Copyright in the data and materials resides with the copyright owners as indicated next to the detailed records. In any reproduction, distribution or publication of the data, or in any use or adaptation of the data to create derivative works, the user must include a citation which attributes the source of the data and the date the data was published, as follows: Data Source: 'Victorian Biodiversity Atlas', © The State of Victoria, Department of Environment and Primary Industries (published [month, year]).","For more information: https://collections.ala.org.au/public/show/dr1097","","","","808"
"dr8129","HerpMapper","10.15468/9tsf2l","HerpMapper. YEAR. HerpMapper - A Global Herp Atlas and Data Hub. Iowa, U.S.A. Available http://www.herpmapper.org. (Accessed: DD-MM-YYYY)","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr8129","Location data is generalized to the sub-state boundary, full resolution locations are available from HerpMapper upon request for conservation and research purposes.","As you may know, one of the things that sets HerpMapper apart from many other citizen-science database projects is that point-location data entered into HerpMapper are not shared publicly by HerpMapper. As such, HerpMapper Partners are discouraged from sharing point-location data publicly, even for common species, but HerpMapper acknowledges that in some cases this may be necessary to meet conservation and research objectives. HerpMapper encourages Partners to contact HerpMapper directly to discuss publication and sharing of these data to meet your needs while also best protecting herpetofauna populations. This also ensures that multiple organizations do not attempt to publish the same new and updated county records in Herpetological Review geographical distribution notes.","","13"
"dp3301","NatureMapr","","Records provided by NatureMapr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3301","","","","3"
"co117","Museums Victoria Herpetology Collection","","Records provided by Museums Victoria Herpetology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co117","","","","504"
"dr1132","WildNet - Queensland Wildlife Data","10.15468/lxgoyb","Queensland Government","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1132","","","","299"
"dr344","Queensland Museum provider for OZCAM","10.15468/lotsye","Queensland Museum, http://www.qm.qld.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr344","","","","860"
"dr343","Northern Territory Museum and Art Gallery provider for OZCAM","10.15468/giro3a","Northern Territory Museum and Art Gallery, https://www.magnt.net.au/","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr343","","","","622"
"dr346","South Australian Museum Australia provider for OZCAM","10.15468/wz4rrh","South Australian Museum, http://www.samuseum.sa.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr346","","","","1136"
"dr1411","iNaturalist Australia","","iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16","CC-BY-NC-Int","For more information: https://collections.ala.org.au/public/show/dr1411","","","","177"
"dp3903","BioCollect","","Records provided by BioCollect, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3903","","","","2"
"dr340","Australian Museum provider for OZCAM","10.15468/e7susi","Australian Museum, http://australianmuseum.net.au/","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr340","","","","1305"
"in22","South Australian Museum","","Records provided by South Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in22","","","","1136"
"dr342","Museums Victoria provider for OZCAM","10.15468/lp1ctu","Museums Victoria, http://museumvictoria.com.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr342","","","","505"
"dp3227","FieldData / Biological Data Recording System","","Records provided by FieldData / Biological Data Recording System, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3227","","","","1"
"dr341","Australian National Wildlife Collection provider for OZCAM","10.15468/gscnac","Australian National Wildlife Collection, CSIRO, http://www.csiro.au/","CC-BY Data is available under the Creative Commons Attribution 3.0 Australia license.  Sound files associated with specimen records are not available for download and re-use. Please contact the Australian National Wildlife Collection for more information.","For more information: https://collections.ala.org.au/public/show/dr341","","","","123"
"dr14081","Albury Wodonga Nature Map","10.15468/kjmjwf","Albury Wodonga Nature Map","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr14081","","","","3"
"dr348","Western Australian Museum provider for OZCAM","10.15468/5qt0dm","Western Australian Museum, http://www.museum.wa.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr348","","","","2397"
"dr14002","Northern Territory WildWatch","10.15468/jd2c7e","Incidental Fauna Observations: Northern Territory Govenment (2020) Incidental Fauna Observations dataset
","Creative Commons Attribution-Noncommercial (Australia) (CC-BY-NC 3.0 (Aus))","For more information: https://collections.ala.org.au/public/show/dr14002","","","","2"
"co10","Australian Museum Herpetology Collection","","Records provided by Australian Museum Herpetology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co10","","","","1305"
"co140","Museum and Art Gallery of the Northern Territory Reptile Collection","","Records provided by Museum and Art Gallery of the Northern Territory Reptile Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co140","","","","574"
"in4","Australian Museum","","Records provided by Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in4","","","","1305"
"in6","Commonwealth Scientific and Industrial Research Organisation","","Records provided by Commonwealth Scientific and Industrial Research Organisation, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in6","","","","123"
"dr893","BowerBird","","Records provided by BowerBird, accessed through ALA website.","Creative Commons - license at record level (Creative Commons - license at record level) The rights of material uploaded by users to the BowerBird website are owned by those users. Each user will nominate the type of license that can apply to their content - BowerBird encourages the Creative Commons License but users have the right to deny use of their content. Please respect the license wishes of the user's content.

For all other material, including the content, design and source code of BowerBird other than user-contributed material, is under the Open Source and Creative Commons licenses. You may use this material.","For more information: https://collections.ala.org.au/public/show/dr893","","","","6"
"in15","Queensland Museum","","Records provided by Queensland Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in15","","","","860"
